A номер;B номер;IMSI;Дата (коммутатор);Продолжительность;Набрано;Переадресовано;IMEI;ID первой БС;Адрес первой БС;Коммутатор ID;Коммутатор;SMS центр;Тип записи;Тип соединения;Время по Москве;Номер;Контакт;LAC
79062863352;79022810325;250992180008353;01.09.2013 10:31:34;114;79022810325;;352833037456380;20463 ;Энская обл, Энск г, Кольский, д.128;79062919999;Энск;;Исходящий звонок;Local;01.09.2013 10:31:34;79062863352;79022810325;6238
79062863352;79057493732;250997004107543;01.09.2013 10:36:40;33;79057493732;;352069052624840;23226 ;Энская обл, Энск г, Карла Либкнехта, д.27а;79062919999;Энск;;Входящий звонок;Local;01.09.2013 10:36:40;79057493732;79062863352;6238
79062863352;79057493732;250992180008353;01.09.2013 10:36:41;31;79057493732;;352833037456380;20463 ;Энская обл, Энск г, Кольский, д.128;79062919999;Энск;;Исходящий звонок;Local;01.09.2013 10:36:41;79062863352;79057493732;6238
79062863352;79113009799;250992180008353;01.09.2013 10:47:51;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;01.09.2013 10:47:51;79062863352;79113009799;
79062863352;79113009799;250992180008353;01.09.2013 10:47:55;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;01.09.2013 10:47:55;79062863352;79113009799;
79062863357;79062863352;250992180008353;01.09.2013 13:15:21;20;79062863352;;352833037456380;21242 ;Энская обл, Энск г, Кольский, д.25а;79062919999;Энск;;Входящий звонок;Local;01.09.2013 13:15:21;79062863352;79062863357;6238
79062863357;79062863352;250992180397736;01.09.2013 13:15:22;19;79062863352;;357855010842960;20161 ;Энская обл, Энск г, Кольский пр-кт, д.188;79062919999;Энск;;Исходящий звонок;Local;01.09.2013 13:15:22;79062863357;79062863352;6238
79062863352;79216664228;250992180008353;01.09.2013 13:35:37;89;79216664228;;352833037456380;20122 ;"Энская обл, Энск г, Шмидта ул, д.12, Центральная ТЭЦ ОАО ""Колэнерго""";79062919999;Энск;;Исходящий звонок;Local;01.09.2013 13:35:37;79062863352;79216664228;6238
79022810325;79062863352;250992180008353;01.09.2013 14:48:01;99;79062863352;;352833037456380;21232 ;Энская обл, Энск г, Скальная ул, д.7;79062919999;Энск;;Входящий звонок;Local;01.09.2013 14:48:01;79062863352;79022810325;6238
79062863352;79022810325;250992180008353;01.09.2013 15:38:03;13;79022810325;;352833037456380;20302 ;Энская обл, Энск г, Героев Североморцев, д.50;79062919999;Энск;;Исходящий звонок;Local;01.09.2013 15:38:03;79062863352;79022810325;6238
79062863352;79057493732;250992180008353;01.09.2013 16:10:02;13;79057493732;;352833037456380;20363 ;Энская обл, Энск г, Буркова ул, д.6, СЭС;79062919999;Энск;;Исходящий звонок;Local;01.09.2013 16:10:02;79062863352;79057493732;6238
